,The Night Circus (Clare),,,,,,,,,,,,,,,,,,,,,,,,
,Mike,Nia,Kath,Jen,Dunc,Gareth,Clare,,,,,,,,,,,,,,,,,,
Character development,1,1,1,2,2,,1,2,1,,,,,,,,,,,,,,,,
Overall experience / enjoyment,6,1,5,5,4,,1,5,2,,,,,,,,,,,,,,,,
Total,3.25,1.25,2.75,3.5,2.75,#DIV/0!,1.5,3,2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Conclave (Freddie),,,,,,,,,,,,,,,,,,,,,,,,
,Mike,Nia,Kath,Jen,Dunc,Gareth,Clare,Fred,Bill,,,,,,,,,,,,,,,,
Plot,6,7,5,7,7,8,7,8,6,,,,,,,,,,,,,,,,
Quality of writing,8,8,5,8,8,8,8,7,8,,,,,,,,,,,,,,,,
Character development,7,9,5,7,7,7,7,7,7,,,,,,,,,,,,,,,,
Overall experience / enjoyment,7,8,5,7,8,8,7,9,7,,,,,,,,,,,,,,,,
Total,7,8,5,7.25,7.5,7.75,7.25,7.75,7,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Around the World in 80 Trains (Gareth),,,,,,,,,,,,,,,,,,,,,,,,
,Mike,Nia,Kath,Jen,Dunc,Gareth,Clare,Fred,Bill,,,,,,,,,,,,,,,,
Plot,6,6,6,6,,6,,5,5,,,,,,,,,,,,,,,,
Quality of writing,7,5,6,6,,6,,2,6,,,,,,,,,,,,,,,,
Character development,7,3,6,5,,6,,2,4,,,,,,,,,,,,,,,,
Overall experience / enjoyment,7,6,6,6,,7,,4,5,,,,,,,,,,,,,,,,
Total,6.75,5,6,5.75,#DIV/0!,6.25,#DIV/0!,3.25,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Minna Needs Rehearsal Space (Jen),,,,,,,,,,,,,,,,,,,,,,,,
,Mike,Nia,Kath,Jen,Dunc,Gareth,Clare,Fred,Bill,,,,,,,,,,,,,,,,
Plot,2,6,5,6,4,3,,5,6,,,,,,,,,,,,,,,,
Quality of writing,5,8,6,8,6,1,,7,8,,,,,,,,,,,,,,,,
Character development,2,5,5,5,4,1,,7,6,,,,,,,,,,,,,,,,
Overall experience / enjoyment,5,6,6.5,3,5,3,,7,8,,,,,,,,,,,,,,,,
Total,3.5,6.25,5.625,5.5,4.75,2,#DIV/0!,6.5,7,,,,,,,,,,,,,,,,
